1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF,GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
157,FL,Florida,S,n/a,,,,,Total State Votes:,,"2,564,282",,,,"9,301,820",,,,,,,
158,FL,Florida,S,n/a,,,,,,,,,,,,,,,,,,
159,,,S,n/a,,,,,,,,,,,,,,,,,,
160,GA,Georgia,S,S6GA00119 ,(I),Johnny,Isakson,"Isakson, Johnny",,R,"447,661",77.50%,,,"2,135,806",54.78%,,,,,W,
161,GA,Georgia,S,S4GA11236 ,,Derrick,Grayson,"Grayson, Derrick",,R,"69,101",11.96%,,,,,,,,,,
162,GA,Georgia,S,S6GA00242,,Mary Kay,Bacallao,"Bacallao, Mary Kay",,R,"60,898",10.54%,,,,,,,,,,
163,GA,Georgia,S,n/a,,,,,Party Votes:,R,"577,660",,,,,,,,,,,
164,GA,Georgia,S,S6GA00200 ,,Jim,Barksdale,"Barksdale, Jim",,D,"166,627",53.74%,,,"1,599,726",41.03%,,,,,,
165,GA,Georgia,S,S6GA00218,,Cheryl ,Copeland,"Copeland, Cheryl ",,D,"130,822",42.19%,,,,,,,,,,
166,GA,Georgia,S,S4GA11202,,"John F., III",Coyne,"Coyne, John F., III",,D,"12,604",4.07%,,,,,,,,,,
167,GA,Georgia,S,n/a,,,,,Party Votes:,D,"310,053",,,,,,,,,,,
168,GA,Georgia,S,S4GA11103,,Allen,Buckley,"Buckley, Allen",,LIB,,,,,"162,260",4.16%,,,,,,
169,GA,Georgia,S,S6GA00259,,Michelle,Gates,"Gates, Michelle",,W,,,,,813,0.02%,,,,,,
170,GA,Georgia,S,n/a,,,,,Total State Votes:,,"887,713",,,,"3,898,605",,,,,,,
171,GA,Georgia,S,n/a,,,,,,,,,,,,,,,,,,
172,,,S,n/a,,,,,,,,,,,,,,,,,,
173,HI,Hawaii,S,S4HI00136 ,(I),Brian,Schatz,"Schatz, Brian",,D,"162,905",86.17%,,,"306,604",73.60%,,,,,W,
174,HI,Hawaii,S,S6HI00271,,Makani,Christensen,"Christensen, Makani",,D,"11,899",6.29%,,,,,,,,,,
175,HI,Hawaii,S,S6HI00297,,Miles,Shiratori,"Shiratori, Miles",,D,"8,620",4.56%,,,,,,,,,,
176,HI,Hawaii,S,S0HI00118 ,,Arturo,Reyes,"Reyes, Arturo",,D,"3,820",2.02%,,,,,,,,,,
177,HI,Hawaii,S,S6HI00289,,Tutz,Honeychurch,"Honeychurch, Tutz",,D,"1,815",0.96%,,,,,,,,,,
178,HI,Hawaii,S,n/a,,,,,Party Votes:,D,"189,059",,,,,,,,,,,
179,HI,Hawaii,S,S0HI00126,,John,Carroll,"Carroll, John",,R,"26,749",74.58%,,,"92,653",22.24%,,,,,,
180,HI,Hawaii,S,S0HI00183,,John P.,Roco,"Roco, John P.",,R,"3,956",11.03%,,,,,,,,,,
181,HI,Hawaii,S,S6HI00263,,Karla (Bart),Gottschalk,"Gottschalk, Karla (Bart)",,R,"3,045",8.49%,,,,,,,,,,
182,HI,Hawaii,S,S6HI00222,,Eddie,Pirkowski,"Pirkowski, Eddie",,R,"2,115",5.90%,,,,,,,,,,
