1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF,GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,,
172,MA,Massachusetts,S,S4MA00028,(I),Edward J.,Markey,"Markey, Edward J.",,D,"402,433",98.29%,,,"1,289,944",61.87%,,,,,W,,,
173,MA,Massachusetts,S,n/a,,,All Others,All Others,,W(D),"6,986",1.71%,,,,,,,,,,,,
174,MA,Massachusetts,S,n/a,,,,,Party Votes:,D,"409,419",,,,,,,,,,,,,
175,MA,Massachusetts,S,S4MA00234,,Brian J.,Herr,"Herr, Brian J.",,R,"117,216",99.26%,,,"791,950",37.98%,,,,,,,,
176,MA,Massachusetts,S,n/a,,,All Others,All Others,,W(R),872,0.74%,,,,,,,,,,,,
177,MA,Massachusetts,S,n/a,,,,,Party Votes:,R,"118,088",,,,,,,,,,,,,
178,MA,Massachusetts,S,n/a,,,All Others,All Others,,W,,,,,"3,072",0.15%,,,,,,,,
179,MA,Massachusetts,S,n/a,,Brian R.,Muello,"Muello, Brian R.",,W,,,,,6,0.00%,,,,,,,,
180,MA,Massachusetts,S,n/a,,,,,Total State Votes:,,"527,507",,,,"2,084,972",,,,,,,,,
181,,,,n/a,,,,,,,,,,,,,,,,,,,,
182,MI,Michigan,S,S4MI00355 ,,Gary,Peters,"Peters, Gary",,D,"504,102",100.00%,,,"1,704,936",54.61%,,,,,W,,,
183,MI,Michigan,S,n/a,,,,,Party Votes:,D,"504,102",,,,,,,,,,,,,
184,MI,Michigan,S,S4MI00363 ,,Terri Lynn,Land,"Land, Terri Lynn",,R,"588,084",100.00%,,,"1,290,199",41.33%,,,,,,,,
185,MI,Michigan,S,n/a,,,,,Party Votes:,R,"588,084",,,,,,,,,,,,,
186,MI,Michigan,S,S4MI00371,,Jim,Fulner,"Fulner, Jim",,LIB,*,,,,"62,897",2.01%,,,,,,"* The Green Party nominated by convention on June 8, 2014, the Libertarian Party nominated by convention on May 17, 2014, and the U.S. Taxpayers Party nominated by convention on June 28, 2014.  Convention nominees are noted with an asterisk.",,
