State,District,Year,Cluster,Power_House,Power_Senate,Power_Total
AL,7.0,2012,Rural,3.2620254568466653,1.1281302087886984,8.169391865077502
AL,7.0,2014,Rural,7.35840587495125,1.7364208632703142,14.911836630177117
AL,7.0,2016,Rural,4.29132979727758,1.376683253405398,10.27990194959106
AR,1.0,2000,Rural,5.001100242053251,,
AR,1.0,2002,Rural,5.153098558163023,,
AR,1.0,2004,Rural,4.099301479027973,2.170011739763512,13.53885254699925
AR,1.0,2006,Rural,5.4292353464938,2.170011739763512,14.868786414465077
AR,1.0,2008,Rural,,1.950170225483557,
AR,1.0,2010,Rural,5.555061772286908,2.2325028980678248,15.266449378881944
AR,1.0,2012,Rural,4.051158023521023,2.2325028980678248,13.762545630116062
AR,1.0,2014,Rural,5.09538561878363,2.457814683230699,15.786879490837169
AR,1.0,2016,Rural,4.148568536426506,2.0460075487448512,13.048701373466608
AR,2.0,2000,Rural,4.532084895014253,,
AR,2.0,2002,Rural,6.509314829521045,,
AR,2.0,2004,Rural,3.6167280907654082,2.170011739763512,13.056279158736684
AR,2.0,2006,Rural,4.847239254882382,2.170011739763512,14.286790322853658
AR,2.0,2008,Rural,3.605344562779865,1.950170225483557,12.088585043633337
AR,2.0,2010,Rural,4.742663100184015,2.2325028980678248,14.454050706779054
AR,2.0,2012,Rural,3.489207880027076,2.2325028980678248,13.200595486622113
AR,2.0,2014,Rural,4.213542325032655,2.457814683230699,14.905036197086195
AR,2.0,2016,Rural,3.3061785865425306,2.0460075487448512,12.206311423582633
AR,3.0,2000,Rural,,,
AR,3.0,2002,Rural,6.99031840900353,,
AR,3.0,2004,Rural,3.6927212770907265,2.170011739763512,13.132272345062002
AR,3.0,2006,Rural,4.977006231211801,2.170011739763512,14.416557299183077
AR,3.0,2008,Rural,3.6490224268918356,1.950170225483557,12.132262907745307
AR,3.0,2010,Rural,4.875123706264047,2.2325028980678248,14.586511312859084
AR,3.0,2012,Rural,4.070666775217781,2.2325028980678248,13.782054381812818
AR,3.0,2014,Rural,5.2373844502055675,2.457814683230699,15.928878322259107
AR,3.0,2016,Rural,3.5598970477773784,2.0460075487448512,12.46002988481748
AR,4.0,2000,Rural,4.71342383107089,,
AR,4.0,2002,Rural,5.0623427509782974,,
AR,4.0,2004,Rural,,2.170011739763512,
AR,4.0,2006,Rural,5.827641669968997,2.170011739763512,15.267192737940274
AR,4.0,2008,Rural,4.24122384755345,1.950170225483557,12.72446432840692
AR,4.0,2010,Rural,5.613751445540998,2.2325028980678248,15.325139052136034
AR,4.0,2012,Rural,3.86170463365939,2.2325028980678248,13.573092240254427
AR,4.0,2014,Rural,4.851283892282092,2.457814683230699,15.542777764335632
AR,4.0,2016,Rural,4.095691741856741,2.0460075487448512,12.995824578896844
AZ,1.0,2000,Rural,4.348374360245423,,
AZ,1.0,2002,Rural,5.724524435132551,,
AZ,1.0,2004,Rural,3.947093163239932,1.1909181770734556,9.127587233509463
AZ,1.0,2006,Rural,4.898622997075522,1.1466381000894665,9.886498732464702
AZ,1.0,2008,Rural,3.5869678284855464,1.1466381000894665,8.574843563874726
AZ,1.0,2010,Rural,4.4068782555813115,1.2363743815809891,9.785106815458613
AZ,1.0,2012,Rural,3.97464178540909,1.0121698238773897,8.377580519275735
AZ,1.0,2014,Rural,5.402076558228983,1.0121698238773897,9.805015292095629
