STATE ABBREVIATION,D,INCUMBENT INDICATOR,CANDIDATE NAME,PARTY,PRIMARY RESULTS,RUNOFF RESULTS,GENERAL VOTES ,COMBINED PARTIES,,,,,,,,,,,,,,
NV,S,,None of These Candidates,R,"5,290",,,,,,,,,,,,,,,,,
NV,S,,"Grutzmacher, Bill",CF,,,"1,579",,,,,,,,,,,,,,,
NV,S,,"Rusco, Kathryn",GRN,,,"10,286",,,,,,,,,,,,,,,
NV,S,,"Berghof, Ernie",IAP,,,"2,540",,,,,,,,,,,,,,,
NV,S,,"Johnson, J.J.",LBT,,,"5,395",,,,,,,,,,,,,,,
NV,S,,None of These Candidates,,,,"11,503",,,,,,,,,,,,,,,
NY,S,,"Clinton, Hillary Rodham",Combined,,,,"3,747,310",,,,,,,,,,,,,,
NY,S,,"Clinton, Hillary Rodham",L,Unopposed,,"82,801",,,,,,,,,,,,,,,
NY,S,,"Clinton, Hillary Rodham",WF,Unopposed,,"102,094",,,,,,,,,,,,,,,
NY,S,,"Clinton, Hillary Rodham",D,"565,353",,"3,562,415",,,,,,,,,,,,,,,
NY,S,,"McMahon, Mark S.",D,"124,315",,,,,,,,,,,,,,,,,
NY,S,,Scattered,W(D),43,,,,,,,,,,,,,,,,,
NY,S,,"Lazio, Rick",Combined,,,,"2,915,730",,,,,,,,,,,,,,
NY,S,,"Lazio, Rick",R,Unopposed,,"2,724,589",,,,,,,,,,,,,,,
NY,S,,"Lazio, Rick",C,Unopposed,,"191,141",,,,,,,,,,,,,,,
NY,S,,"Dugger, Ronnie",GRN,353,,,,,,,,,,,,,,,,,
NY,S,,"Dunau, Mark J.",GRN,454,,"40,991",,,,,,,,,,,,,,,
NY,S,,"Lewis, Al",GRN,377,,,,,,,,,,,,,,,,,
NY,S,,"Beller, Jeff",IDP,"1,613",,,,,,,,,,,,,,,,,
NY,S,,"Graham, Jeffrey E.",IDP,"3,100",,"43,181",,,,,,,,,,,,,,,
NY,S,,Scattered,W(IDP),15,,,,,,,,,,,,,,,,,
NY,S,,"Adefope, John O.",RTL,830,,"21,439",,,,,,,,,,,,,,,
NY,S,,"Wein, Louis",RTL,800,,,,,,,,,,,,,,,,,
NY,S,,Scattered,W(RTL),2,,,,,,,,,,,,,,,,,
NY,S,,"Wein, Louis P.",CON,,,"3,414",,,,,,,,,,,,,,,
NY,S,,"Clifton, John",LBT,,,"4,734",,,,,,,,,,,,,,,
NY,S,,"Perasso, Jacob J.",SWP,,,"3,040",,,,,,,,,,,,,,,
OH,S,,"Celeste, Ted",D,"375,205",,"1,597,122",,,,,,,,,,,,,,,
OH,S,,"Cordray, Richard",D,"202,345",,,,,,,,,,,,,,,,,
OH,S,,"McMickle, Marvin A.",D,"208,291",,,,,,,,,,,,,,,,,
OH,S,,"Radakovich, Daniel I.",D,"69,620",,,,,,,,,,,,,,,,,
OH,S,,"Cremeans, Frank A.",R,"104,219",,,,,,,,,,,,,,,,,
OH,S,(I),"DeWine, Mike",R,"1,029,860",,"2,666,736",,,,,,,,,,,,,,,
OH,S,,"Dickson, Ronald Richard",R,"161,185",,,,,,,,,,,,,,,,,
OH,S,,"McAlister, John R.",LBT,"1,738",,"117,466",,,,,,,,,,,,,,,
OH,S,,"Eastman, John A.",NL,534,,"70,738",,,,,,,,,,,,,,,
OH,S,,"Flower, Patrick Allen",W,,,29,,,,,,,,,,,,,,,
OH,S,,"Fitzsimmons, Michael",W,,,45,,,,,,,,,,,,,,,
PA,S,,"Berg, Phil",D,"9,636",,,,,,,,,,,,,,,,,
PA,S,,"Foley, Tom",D,"184,003",,,,,,,,,,,,,,,,,
PA,S,,"Klink, Ron",D,"299,219",,"2,154,908",,,,,,,,,,,,,,,
PA,S,,"Levin, Murray",D,"18,903",,,,,,,,,,,,,,,,,
PA,S,,"Rovner, Bob",D,"28,031",,,,,,,,,,,,,,,,,
PA,S,,"Schwartz, Allyson Y.",D,"194,783",,,,,,,,,,,,,,,,,
PA,S,,Scattered,W(D),686,,,,,,,,,,,,,,,,,
PA,S,(I),"Santorum, Rick",R,"545,687",,"2,481,962",,,,,,,,,,,,,,,
PA,S,,Scattered,W(R),"2,305",,,,,,,,,,,,,,,,,
PA,S,,"Searer, Lester B.",CON,,,"28,382",,,,,,,,,,,,,,,
PA,S,,"Featherman, John J.",LBT,,,"45,775",,,,,,,,,,,,,,,
PA,S,,"Domske, Robert E.",REF,,,"24,089",,,,,,,,,,,,,,,
PA,S,,Scattered,W,,,388,,,,,,,,,,,,,,,
RI,S,,"Licht, Richard A.",D,"38,281",,,,,,,,,,,,,,,,,
RI,S,,"Weygand, Robert A.",D,"51,769",,"161,023",,,,,,,,,,,,,,,
RI,S,,Scattered,W(D),,,,,,,,,,,,,,,,,,
RI,S,(I),"Chafee, Lincoln D.",R,"2,221",,"222,588",,,,,,,,,,,,,,,
RI,S,,Scattered,W(R),,,,,,,,,,,,,,,,,,
RI,S,,"Young, Christopher",REF,Unopposed,,"4,107",,,,,,,,,,,,,,,
RI,S,,"Proulx, Kenneth P.",I,,,"3,635",,,,,,,,,,,,,,,
RI,S,,Scattered,W,,,184,,,,,,,,,,,,,,,
TN,S,,"Clark, Jeff",D,"64,851",,"621,152",,,,,,,,,,,,,,,
TN,S,,"Hooker, John Jay",D,"64,041",,,,,,,,,,,,,,,,,
TN,S,,"Looney, James",D,"6,354",,,,,,,,,,,,,,,,,
TN,S,,"Taylor-Shelby, Mary",D,"28,604",,,,,,,,,,,,,,,,,
TN,S,,"Wood, Shannon",D,"25,372",,,,,,,,,,,,,,,,,
TN,S,,Scattered,W(D),218,,,,,,,,,,,,,,,,,
TN,S,(I),"Frist, Bill",R,"186,882",,"1,255,444",,,,,,,,,,,,,,,
TN,S,,Scattered,W(R),345,,,,,,,,,,,,,,,,,
TN,S,,"Burrell, Tom",I (GRN),,,"25,815",,,,,,,,,,,,,,,
TN,S,,"Johnson, Charles F.",I,,,"10,004",,,,,,,,,,,,,,,
TN,S,,"Kinstle, Joel",I,,,"3,135",,,,,,,,,,,,,,,
TN,S,,"Ownby, David Jarrod",I,,,"4,388",,,,,,,,,,,,,,,
TN,S,,"Watson, Robert",I,,,"8,416",,,,,,,,,,,,,,,
TN,S,,Scattered,W,,,259,,,,,,,,,,,,,,,
TX,S,,"Bintliff, H. Gerald",D,"33,979",,,,,,,,,,,,,,,,,
TX,S,,"Clark, Don",D,"139,243",,,,,,,,,,,,,,,,,
TX,S,,"Gandy, Charles",D,"140,636","101,984",,,,,,,,,,,,,,,,
TX,S,,"Kelly, Gene",D,"220,531","143,366","2,030,315",,,,,,,,,,,,,,,
TX,S,,"Wightman, Bobby",D,"83,643",,,,,,,,,,,,,,,,,
TX,S,(I),"Hutchison, Kay Bailey",R,"955,033",,"4,082,091",,,,,,,,,,,,,,,
TX,S,,"Ruwart, Mary J.",LBT,*,,"72,798",,,,,,,,,,,,,,,
TX,S,,"Sandage, Douglas S.",GRN,*,,"91,448",,,,,,,,,,,,,,,
UT,S,,"Howell, Scott N.",D,*,,"242,569",,,,,,,,,,,,,,,
UT,S,,"Guliuzza, Frank",R,,,,,,,,,,,,,,,,,,
UT,S,(I),"Hatch, Orrin G.",R,*,,"504,803",,,,,,,,,,,,,,,
UT,S,,"Hawkins, Greg",R,,,,,,,,,,,,,,,,,,
UT,S,,"Thomas, Bart",R,,,,,,,,,,,,,,,,,,
UT,S,,"Bowen, Carlton Edward",IAP,*,,"11,938",,,,,,,,,,,,,,,
UT,S,,"Dexter, Jim",LBT,*,,"10,394",,,,,,,,,,,,,,,
VA,S,(I),"Robb, Charles S.",D,Unopposed,,"1,296,093",,,,,,,,,,,,,,,
VA,S,,"Allen, George F.",R,Unopposed,,"1,420,460",,,,,,,,,,,,,,,
VA,S,,Scattered,W,,,"1,748",,,,,,,,,,,,,,,
VT,S,,"Backus, Jan",D,"16,444",,,,,,,,,,,,,,,,,
VT,S,,"Flanagan, Ed",D,"17,440",,"73,352",,,,,,,,,,,,,,,
VT,S,,Scattered,W(D),"1,533",,,,,,,,,,,,,,,,,
VT,S,,"Hubbard, Rick",R,"15,991",,,,,,,,,,,,,,,,,
VT,S,(I),Jim Jeffords,R,"60,234",,"189,133",,,,,,,,,,,,,,,
VT,S,,Scattered,W(R),"1,204",,,,,,,,,,,,,,,,,
VT,S,,"Russell, Charles W.",CON,,,"10,079",,,,,,,,,,,,,,,
VT,S,,"Greer, Billy",GRT-VT,,,"4,889",,,,,,,,,,,,,,,
VT,S,,"Douglas, Hugh",LBT,,,"3,843",,,,,,,,,,,,,,,
VT,S,,"Levy, Jerry",LU,,,"1,477",,,,,,,,,,,,,,,
VT,S,,"Hubbard, Rick",I,,,"5,366",,,,,,,,,,,,,,,
VT,S,,Scattered,W,,,361,,,,,,,,,,,,,,,
WA,S,,"Cantwell, Maria",D,"472,609",,"1,199,437",,,,,,,,,,,,,,,
WA,S,,"Lampert, Barbara",D,"15,150",,,,,,,,,,,,,,,,,
WA,S,,"Medley, Robert Tilden",D,"14,009",,,,,,,,,,,,,,,,,
WA,S,,"Senn, Deborah",D,"168,110",,,,,,,,,,,,,,,,,
WA,S,(I),"Gorton, Slade",R,"560,787",,"1,197,208",,,,,,,,,,,,,,,
WA,S,,"Hanson, Warren E.",R,"17,782",,,,,,,,,,,,,,,,,
WA,S,,"McCandless, Ken",R,"12,089",,,,,,,,,,,,,,,,,
WA,S,,"Riggs, June",R,"10,455",,,,,,,,,,,,,,,,,
WA,S,,"Jared, Jeff",LBT,"16,247",,"64,734",,,,,,,,,,,,,,,
WI,S,(I),"Kohl, Herbert H.",D,"184,920",,"1,563,238",,,,,,,,,,,,,,,
WI,S,,"Sigl, Jim",D,"20,858",,,,,,,,,,,,,,,,,
WI,S,,Scattered,W(D),203,,,,,,,,,,,,,,,,,
WI,S,,"Gillespie, John",R,"135,364",,"940,744",,,,,,,,,,,,,,,
WI,S,,"Gumz, Marc",R,"21,698",,,,,,,,,,,,,,,,,
WI,S,,"Lorge, Bill",R,"41,026",,,,,,,,,,,,,,,,,
